1484496564929,click,796,260
1484496852047,click,1344,180
1484496855332,Task started
1484496872511,sitebar thread-1 clicked
1484496872518,click,72,208
1484496883748,Taks completed
1484496893131,Task started
1484496894309,btn-reset clicked
1484496894311,click,btn-reset
1484496896323,Taks completed
1484496951810,sitebar thread-1 clicked
1484496951813,click,102,224
1484496964027,Task started
1484496986440,click,ranking-2
1484496990763,Taks completed
1484496994883,Task started
1484496998131,new start date: 1483739777234
1484496998132,new end date: 1483826251000
1484496999760,new start date: 1483739777234
1484496999760,new end date: 1483804878322
1484497002820,Taks completed
1484497009844,Task started
1484497009945,btn-reset clicked
1484497009948,click,btn-reset
1484497011795,Taks completed
1484497015506,Task started
1484497024245,click,input-url
1484497039466,btn-load clicked
1484497039470,click,btn-load
1484497048099,Taks completed
1484497061339,Task started
1484497073510,download-btn clicked
1484497073522,click,80,100
1484497073557,click,0,0
1484497079522,Taks completed
1484497081923,Task started
1484497114554,Taks completed
1484497122554,Task started
1484497149211,Taks completed
1484497150226,Task started
1484497161339,Task started
1484497164830,mainvis comment clicked: dcfp6s9
1484497164835,click,461,610
1484497180676,Taks completed
1484497185268,Task started
1484497186576,secondvis comment clicked: t3_5o0edc
1484497186582,click,917,356
1484497194259,Taks completed
1484497199161,secondvis comment clicked: t3_5o0edc
1484497199163,click,917,356
1484497205227,Task started
1484497241723,Taks completed
1484497280503,secondvis comment clicked: t1_dcfp6s9
1484497280507,click,1004,342
1484497284451,secondvis comment clicked: t1_dcfsftm
1484497284454,click,996,449
1484497285380,click,1148,446
1484497286136,click,1073,292
1484497286794,secondvis comment clicked: t1_dcfp6s9
1484497286796,click,1098,318
